,endTime,artistName,trackName,msPlayed,artist_genres
0,2023-02-13 17:56,Rihanna,Hate That I Love You,4514,"['barbadian pop', 'pop', 'urban contemporary']"
1,2023-02-14 00:05,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
2,2023-02-14 00:12,Gabriel Fauré,"Fauré: Pavane, Op. 50",385857,"['classical', 'post-romantic era']"
3,2023-02-14 00:19,Wolfgang Amadeus Mozart,"Serenade In G Major ""Eine Kleine Nachtmusik"", K. 525: I. Allegro",466133,"['classical', 'classical era']"
4,2023-02-14 00:22,Giuseppe Verdi,La traviata / Act I: Libiamo ne'lieti calici,175506,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']"
5,2023-02-14 01:59,Franz Liszt,"La campanella in G-Sharp Minor (From ""Grandes études de Paganini"", S. 141 / 3)",47342,"['classical', 'late romantic era']"
6,2023-02-14 02:00,Gold Band,Stern Des Südens (Hymnem Bayern München),12180,"['football', 'fussball']"
7,2023-02-14 02:00,Edvard Grieg,"Piano Concerto in A minor, Op. 16: II. Adagio - Live",22280,"['classical', 'late romantic era', 'norwegian classical']"
8,2023-02-14 02:00,Football Chants,Bayern Ambiance after goal,13090,['fan chant']
9,2023-02-14 02:03,Johann Sebastian Bach,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",151480,"['baroque', 'classical', 'early music', 'german baroque']"
10,2023-02-14 02:08,Franz Liszt,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",293146,"['classical', 'late romantic era']"
11,2023-02-14 02:15,Antonín Dvořák,"Serenade for Strings in E Major, Op. 22, B. 52: II. Tempo di valse",432533,"['classical', 'czech classical', 'late romantic era']"
12,2023-02-14 02:19,Franz Liszt,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",270000,"['classical', 'late romantic era']"
13,2023-02-14 02:22,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",166866,"['classical', 'late romantic era', 'russian romanticism']"
14,2023-02-14 02:36,Edvard Grieg,"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",820853,"['classical', 'late romantic era', 'norwegian classical']"
15,2023-02-14 02:41,Ludwig van Beethoven,Speaking Unto Nations (Beethoven Symphony no 7 - II ),302986,"['classical', 'classical era', 'early romantic era', 'german romanticism']"
16,2023-02-14 02:47,Gabriel Fauré,"Fauré: Pavane, Op. 50",385857,"['classical', 'post-romantic era']"
17,2023-02-14 02:52,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']"
18,2023-02-14 03:00,Edward Elgar,"Elgar: Cello Concerto in E Minor, Op. 85: I. Adagio - Moderato",478573,"['british modern classical', 'classical', 'late romantic era', 'victorian britain']"
19,2023-02-14 03:09,Johann Sebastian Bach,Toccata and Fugue in D minor,567466,"['baroque', 'classical', 'early music', 'german baroque']"
20,2023-02-14 03:13,George Frideric Handel,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",207266,"['baroque', 'classical', 'early music', 'english baroque', 'german baroque']"
21,2023-02-14 03:19,Ludovico Einaudi,Nuvole Bianche,357706,"['compositional ambient', 'neo-classical']"
22,2023-02-14 03:26,Pyotr Ilyich Tchaikovsky,"Tchaikovsky: The Nutcracker, Op. 71, Act II: No. 13, Waltz of the Flowers",415813,"['classical', 'late romantic era', 'russian romanticism']"
23,2023-02-14 03:34,Wolfgang Amadeus Mozart,"Serenade In G Major ""Eine Kleine Nachtmusik"", K. 525: I. Allegro",466133,"['classical', 'classical era']"
