,Unnamed: 0,trackName,Artist,msPlayed,artist_genres,Track Play Count
2570,2570,Paradise,Bazzi,169038,['pop'],244
2996,2996,Still Up All Night,Eli Sostre,185600,"['dark r&b', 'trap soul']",171
3002,3002,Love on the Weekend,John Mayer,212320,"['neo mellow', 'singer-songwriter']",122
3369,3369,Good Girls Gone Bad,A Boogie wit da Hoodie,105675,"['melodic rap', 'rap', 'trap']",120
1966,1966,Famous (feat. Reginae Carter),Lil Wayne,242050,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",118
3556,3556,Far From You,Rich The Kid,146640,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']",115
3050,3050,Still Don't Know My Name,Labrinth,153294,"['indie poptimism', 'pop']",110
2745,2745,Ashley (feat. Miguel),Big Sean,262018,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']",109
1766,1766,3 Nights,Dominic Fike,177667,"['alternative pop rock', 'pov: indie']",107
2415,2415,Higher,The Score,214613,"['modern alternative rock', 'pov: indie']",106
3669,3669,Right Above It (feat. Drake),Lil Wayne & Drake,271947,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",106
2663,2663,Good Things Fall Apart,ILLENIUM & Jon Bellion,216668,"['edm', 'melodic dubstep', 'pop dance']",105
3280,3280,Bara Du,Kasbo,153889,"['future bass', 'pop edm', 'swedish electropop', 'vapor twitch']",105
3350,3350,Splash,Ty James & unheard,150448,['melodic rap'],102
2605,2605,Sunshine,POWERS,254641,"['indie poptimism', 'la pop']",99
1750,1750,Waves,Kanye West,181573,"['chicago rap', 'hip hop', 'rap']",98
190,190,All My Friends (feat. Tinashe & Chance The Rapper),Snakehips,229738,"['electropop', 'uk dance']",95
2245,2245,3:15,Bazzi,167019,['pop'],91
5388,5388,BOOTS,HARDY,193902,"['contemporary country', 'modern country pop']",90
1881,1881,Die Trying,Michl,209537,"['r&b', 'soul']",90
3044,3044,Woman,ACOT,60735,['meme rap'],89
4294,4294,Invoice,Nevi,151036,[],89
3161,3161,Killa (feat. Bells),CHRIS YONGE,202067,['canadian hip hop'],89
1092,1092,L$D,A$AP Rocky,238314,"['east coast hip hop', 'hip hop', 'rap', 'trap']",88
3958,3958,Heady,Reaper,211639,[],88
3438,3438,Mirror Masa,ShadowStep,138423,[],88
2757,2757,Longshot,Catfish and the Bottlemen,232959,"['modern alternative rock', 'modern rock', 'stomp pop', 'welsh rock']",87
917,917,The Age of Worry,John Mayer,159720,"['neo mellow', 'singer-songwriter']",86
2275,2275,Cartier,Bazzi,172496,['pop'],85
3208,3208,Yours,SG Lewis,230540,"['electropop', 'indie soul', 'nu disco', 'uk dance', 'vapor soul']",85
358,358,Electric (feat. Khalid),Alina Baraz,246327,['etherpop'],85
2567,2567,Droptop in the Rain (feat. Tory Lanez),Ty Dolla $ign,180868,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",84
3338,3338,Lonely,Jay Sean,186596,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",83
245,245,How To Love,Lil Wayne,240307,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",81
2494,2494,Hurricane,Luke Combs,223307,"['contemporary country', 'country']",81
3445,3445,When I R.I.P.,Labrinth,174568,"['indie poptimism', 'pop']",80
3069,3069,MILK,BROCKHAMPTON,295000,"['boy band', 'rap']",80
3525,3525,They Ain't You,Tyla Yaweh,167996,"['cali rap', 'melodic rap']",80
4182,4182,Pray 4 Love (feat. The Weeknd),Travis Scott,307004,"['hip hop', 'rap', 'slap house']",79
3011,3011,Still Feel Like Your Man,John Mayer,234533,"['neo mellow', 'singer-songwriter']",79
337,337,PRBLMS,6LACK,246773,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",79
2693,2693,ITS ALL GONNA BURN,blackbear,192371,['pop'],79
3143,3143,In the Blood,John Mayer,244773,"['neo mellow', 'singer-songwriter']",79
3436,3436,Forever,916frosty,201572,"['emo rap', 'melodic rap']",78
4350,4350,Daylight,Joji & Diplo,163906,['viral pop'],78
1628,1628,Guilty Pleasure,Bryce Vine,204413,['indie pop rap'],78
3057,3057,I Hope,Gabby Barrett,210773,['contemporary country'],78
2388,2388,With You,Fetty Wap & KDL,224841,"['new jersey rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
2566,2566,Peanut Butter Jelly,Galantis,203697,"['dance pop', 'edm', 'pop', 'pop dance']",77
1635,1635,UCLA,RL Grime & 24hrs,192000,"['brostep', 'edm', 'electro house', 'electronic trap']",77
3134,3134,Better (feat. Stefflon Don),Lil Yachty,242431,"['atl hip hop', 'melodic rap', 'rap', 'trap']",76
1890,1890,Lullaby Baby,916frosty,266325,"['emo rap', 'melodic rap']",76
1192,1192,Blue Tint,Drake,162800,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",75
3016,3016,You & Jennifer,bülow,159162,"['alt z', 'indietronica']",75
3150,3150,Gets Better,Catie Turner,180055,"['alt z', 'gen z singer-songwriter']",75
3427,3427,Honeybee,The Head and the Heart,196055,"['folk-pop', 'seattle indie', 'stomp and holler']",74
3051,3051,Mount Everest,Labrinth,157477,"['indie poptimism', 'pop']",74
2941,2941,Sunday,Matty Wood$,160566,"['indie hip hop', 'st louis rap']",74
3666,3666,Whiskey Glasses,Morgan Wallen,234347,['contemporary country'],73
2507,2507,Empty,Kevin Abstract,194337,"['afrofuturism', 'lgbtq+ hip hop']",73
2981,2981,Hot Rod,Dayglow,204014,"['austindie', 'indie rock', 'pov: indie']",73
2744,2744,Sundress,A$AP Rocky,158206,"['east coast hip hop', 'hip hop', 'rap', 'trap']",72
3918,3918,Formula,Labrinth,91870,"['indie poptimism', 'pop']",71
639,639,Ditmas,Mumford & Sons,218628,"['modern folk rock', 'modern rock', 'neo mellow', 'stomp and holler', 'uk americana']",71
4961,4961,Erase Me (feat. Kanye West),Kid Cudi & Kanye West,192253,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",71
65,65,Sweet Creature,Harry Styles,224870,['pop'],70
199,199,Sober II (Melodrama),Lorde,178639,"['art pop', 'metropopolis', 'nz pop', 'pop']",70
3428,3428,Moonwalk,Rexx Life Raj & Kenny Beats,168864,"['cali rap', 'canadian hip hop']",70
1511,1511,Stan,6LACK,303750,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']",70
2762,2762,That's Life (feat. Mac Miller & Sia),88-Keys,202391,['alternative hip hop'],69
814,814,before I close my eyes,XXXTENTACION,99658,"['emo rap', 'miami hip hop', 'rap']",69
5172,5172,Wonderin' Bout the Wind,Morgan Wallen,182227,['contemporary country'],69
370,370,Talk Too Much (NOW What's Next!),COIN,185667,[],69
1899,1899,Fire Starter (feat. Emani22),Trippie Redd,157500,"['melodic rap', 'rap', 'trap']",68
2338,2338,Ungrateful Eyes,Jon Bellion,204760,['indie pop rap'],68
2492,2492,Black,Dierks Bentley,210413,"['contemporary country', 'country', 'country road', 'modern country rock']",68
319,319,It's All in Vain,Wet,214274,"['brooklyn indie', 'electropop', 'indie poptimism', 'nyc pop', 'shimmer pop']",68
4591,4591,Yellow Lights,Harry Hudson,171382,['pop r&b'],67
2926,2926,Remember When,Wallows,155147,['pov: indie'],67
2651,2651,Let's Hurt Tonight,OneRepublic,194520,"['piano rock', 'pop']",67
580,580,Everglow,Coldplay,282693,"['permanent wave', 'pop']",67
2266,2266,Soarin,Bazzi,177105,['pop'],66
4921,4921,Everyday (feat. Rod Stewart x Miguel x Mark Ronson),A$AP Rocky,260991,"['east coast hip hop', 'hip hop', 'rap', 'trap']",66
3984,3984,IMPATIENT,SEBASTIAN PAUL,189309,[],66
547,547,Losin Control,Russ,237507,"['hawaiian hip hop', 'pop rap']",66
5243,5243,"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",Flo Rida,232616,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",66
1803,1803,Burn the House Down,AJR,212689,['pov: indie'],65
263,263,Hefner,Tana Mongeau,105231,['social media pop'],65
4914,4914,When In Rome,Mac Miller,223119,"['hip hop', 'pittsburgh rap', 'rap']",64
1034,1034,Full Circle,Quinn XCII,219459,['indie pop rap'],64
2518,2518,Hell Raisin' Heat of the Summer,Florida Georgia Line,213333,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",64
2650,2650,The Nights,Avicii,176658,"['dance pop', 'edm', 'pop', 'pop dance']",64
4045,4045,Bad Tings (feat. DB Bantino),Zoey Dollaz,229227,['miami hip hop'],64
4257,4257,Martin & Gina,Polo G,132833,"['chicago rap', 'rap']",64
2513,2513,When It Rains It Pours,Luke Combs,242680,"['contemporary country', 'country']",64
2911,2911,hot girl bummer,blackbear,188344,['pop'],63
4524,4524,Missed Calls,Mac Miller,178903,"['hip hop', 'pittsburgh rap', 'rap']",63
3052,3052,Sunkissed,khai dreams,126464,"['lo-fi rap', 'pov: indie']",63
2571,2571,Are You Bored Yet? (feat. Clairo),Wallows,178000,['pov: indie'],63
794,794,Came Up (feat. Post Malone & Key),"Flosstradamus, FKi1st & graves",214929,['cali rap'],63
2606,2606,Jaded,sadeyes,160625,"['emo rap', 'sad lo-fi', 'sad rap']",63
3140,3140,Same Ones,Marko Penn,211889,['cali rap'],63
3082,3082,To Be So Lonely,Harry Styles,192071,['pop'],63
1545,1545,One Number Away,Luke Combs,222573,"['contemporary country', 'country']",62
1364,1364,Slow Dancing in a Burning Room,John Mayer,241947,"['neo mellow', 'singer-songwriter']",62
189,189,Perfect Places,Lorde,221874,"['art pop', 'metropopolis', 'nz pop', 'pop']",62
3152,3152,Power Trip (feat. Miguel),J. Cole,241160,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",62
2393,2393,When I Look At You,Miley Cyrus,249667,[],62
2284,2284,1 SIDED LOVE,blackbear,170667,['pop'],62
2274,2274,BRB,Bazzi,160582,['pop'],62
2738,2738,Don’t Give Up on Me,Andy Grammer,196188,"['neo mellow', 'post-teen pop', 'viral pop']",61
3265,3265,1955 (feat. Montaigne and Tom Thum),Hilltop Hoods,239280,['australian hip hop'],61
2622,2622,Phases,PRETTYMUCH,215760,"['boy band', 'post-teen pop', 'teen pop']",61
3245,3245,Have Fun at Your Party,GRAACE,220178,['australian alternative pop'],61
2419,2419,Dazed & Confused,Ruel,189608,"['alt z', 'australian alternative pop', 'pop']",61
4718,4718,Booster Seat,Spacey Jane,268880,"['australian indie rock', 'australian surf rock', 'fremantle indie', 'perth indie']",61
4593,4593,Baby Blue,Rence,208000,[],61
460,460,hostage,Billie Eilish,229426,"['art pop', 'pop']",61
1094,1094,HAPPINESS,NEEDTOBREATHE,205771,"['ccm', 'christian alternative rock', 'christian indie', 'christian music', 'folk-pop']",61
3435,3435,Nothing but Trouble (Instagram Models) [From 808: The Music],Lil Wayne & Charlie Puth,217984,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",60
1898,1898,Topanga,Trippie Redd,215364,"['melodic rap', 'rap', 'trap']",60
1459,1459,Shoota (feat. Lil Uzi Vert),Playboi Carti,153800,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",60
1629,1629,Stay Together,Noah Cyrus,192732,"['alt z', 'pop']",60
3004,3004,Say,John Mayer,230213,"['neo mellow', 'singer-songwriter']",59
3802,3802,Worthy of You,Plested,190619,['singer-songwriter pop'],59
635,635,Hard Times,Paramore,182695,"['candy pop', 'modern rock', 'pixie', 'pop', 'pop emo', 'pop punk', 'rock']",59
1063,1063,No Such Thing as a Broken Heart,Old Dominion,177733,"['contemporary country', 'country', 'country road', 'modern country rock']",59
1974,1974,Mess,Lil Wayne,212428,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",59
2321,2321,4th Dimension (feat. Louis Prima),KIDS SEE GHOSTS,153351,[],59
1995,1995,Bones,Paris Shadows,160013,"['emo rap', 'melodic rap']",59
3249,3249,Praying to a God,Mr. Probz,220495,['pop dance'],59
4167,4167,Lil Mama (feat. Trevor Daniel),Miles Wesley,174267,['sad rap'],59
4175,4175,Death & Taxes,Daniel Caesar,305081,['canadian contemporary r&b'],58
3064,3064,2009,Mac Miller,348002,"['hip hop', 'pittsburgh rap', 'rap']",58
5226,5226,a m a r i,J. Cole,148421,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",58
1897,1897,Dog Days Are Over,Florence + the Machine,252795,"['baroque pop', 'electropop', 'modern rock', 'neo mellow', 'uk alternative pop']",58
462,462,Broken,lovelytheband,204878,"['modern alternative rock', 'modern rock', 'pov: indie']",58
1203,1203,Some Kind of Drug (feat. Marc E. Bassy),G-Eazy,222467,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",58
1130,1130,Fantasy,Alina Baraz & Galimatias,218947,"['vapor soul', 'vapor twitch']",57
4183,4183,Vertigo,Khalid,270415,"['pop', 'pop r&b']",57
