,Unnamed: 0,artistName,trackName,msPlayed,artist_genres,Track Play Count
322,468,A$AP Rocky,LVL,220133,"['east coast hip hop', 'hip hop', 'rap', 'trap']",84.0
732,1679,Unknown Artist,Unknown Track,16314,[],71.0
1429,4654,Dave,Sprinter,112200,"['jam band', 'neo mellow', 'pop rock']",59.0
183,242,Kid Cudi,Just What I Am,200511,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",59.0
669,1406,Lil Wayne,Let It All Work Out,316192,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",57.0
595,1048,Peter Bjorn and John,Young Folks,276693,"['alternative dance', 'baroque pop', 'dance-punk', 'indie rock', 'modern rock', 'new rave', 'swedish alternative rock', 'swedish indie pop']",55.0
2375,8419,Isaiah Rashad,West Savannah (feat. SZA),167276,"['hip hop', 'rap', 'tennessee hip hop', 'underground hip hop']",54.0
441,678,MGMT,Kids,302840,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",51.0
15,17,Wolfgang Amadeus Mozart,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",284000,"['classical', 'classical era']",51.0
185,245,Pixies,Where Is My Mind? - Remastered,234973,"['alternative rock', 'boston rock', 'permanent wave', 'rock']",49.0
193,255,Kid Cudi,Pursuit Of Happiness (Nightmare),295293,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",48.0
2004,7256,Empire of the Sun,We Are The People,267373,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",47.0
567,976,Playboi Carti,Yah Mean,165642,"['atl hip hop', 'plugg', 'pluggnb', 'rage rap', 'rap']",46.0
2542,9287,Radiohead,Creep,118698,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",46.0
52,57,Young Thug,High (feat. Elton John),195160,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",45.0
1666,5681,Key Glock,Die Trying,2763,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",45.0
222,306,Frank Ocean,Nikes,314075,"['lgbtq+ hip hop', 'neo soul']",45.0
225,313,Childish Gambino,3005,234215,"['atl hip hop', 'hip hop', 'rap']",45.0
324,472,Mac Miller,BDE Bonus,169322,"['hip hop', 'pittsburgh rap', 'rap']",44.0
243,332,Kanye West,Runaway,125945,"['chicago rap', 'hip hop', 'rap']",44.0
1896,6784,Lil Wayne,Blunt Blowin,312960,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",44.0
325,473,MGMT,Time to Pretend,172010,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']",43.0
237,326,Meek Mill,Dreams and Nightmares,230693,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",43.0
1182,3604,Rihanna,Loveeeeeee Song,256320,"['barbadian pop', 'pop', 'urban contemporary']",43.0
1517,5021,D.O.D,Sleepless,185730,"['electro house', 'house', 'pop dance', 'uk dance']",43.0
1129,3442,Key Glock,Russian Cream,142497,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",43.0
2109,7639,Tory Lanez,Hurts Me,137117,"['canadian hip hop', 'canadian trap', 'melodic rap', 'pop rap', 'r&b', 'rap', 'trap']",42.0
424,650,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786,"['east coast hip hop', 'hip hop', 'rap', 'trap']",40.0
1172,3560,Calvin Harris,Sweet Nothing (feat. Florence Welch),212560,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",40.0
201,274,Mac Miller,Weekend (feat. Miguel),2461,"['hip hop', 'pittsburgh rap', 'rap']",40.0
2211,7873,Travis Scott,MY EYES,251249,"['hip hop', 'rap', 'slap house']",40.0
264,366,Gucci Mane,Lemonade,156778,"['atl hip hop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",40.0
208,282,Drake,IMY2 (with Kid Cudi),252379,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",40.0
381,583,A$AP Rocky,Jukebox Joints (feat. Joe Fox & Kanye West),323960,"['east coast hip hop', 'hip hop', 'rap', 'trap']",39.0
1177,3583,Lana Del Rey,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,206053,"['art pop', 'pop']",39.0
1101,3302,Key Glock,Chromosomes,151080,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",38.0
564,972,Destroy Lonely,NOSTYLIST,176309,['rage rap'],38.0
210,284,Young Thug,Digits,176386,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",38.0
446,690,Lil Wayne,She Will,305840,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",38.0
1777,6229,Pinegrove,Need 2,191796,"['countrygaze', 'new jersey indie', 'small room']",38.0
140,158,Kendrick Lamar,PRIDE.,275253,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",37.0
1150,3506,Kanye West,Devil In A New Dress,351946,"['chicago rap', 'hip hop', 'rap']",37.0
2555,9371,The Police,Roxanne,88816,"['album rock', 'classic rock', 'permanent wave', 'rock']",37.0
444,684,Lil Wayne,Mess,212427,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",36.0
1067,3031,Empire of the Sun,Alive,164352,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",35.0
983,2812,Future,The Percocet & Stripper Joint,148453,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",35.0
209,283,Mac Miller,Someone Like You,256424,"['hip hop', 'pittsburgh rap', 'rap']",35.0
977,2748,Cherub,Doses & Mimosas,182950,[],35.0
1021,2944,Drake,Girls Want Girls (with Lil Baby),221979,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",34.0
392,600,Lil Uzi Vert,The Way Life Goes (feat. Oh Wonder),221746,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap', 'trap']",34.0
154,175,Kanye West,Father Stretch My Hands Pt. 1,22464,"['chicago rap', 'hip hop', 'rap']",34.0
187,247,Foo Fighters,Everlong,239072,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",34.0
2053,7324,Empire of the Sun,Half Mast,234360,"['australian dance', 'australian electropop', 'dance rock', 'indietronica', 'neo-synthpop']",34.0
206,280,Outkast,Ms. Jackson,270507,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']",34.0
143,161,Joey Bada$$,DEVASTATED,207058,"['conscious hip hop', 'hip hop', 'rap']",34.0
204,278,Chance the Rapper,Cocoa Butter Kisses,307187,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",33.0
142,160,Kendrick Lamar,LUST.,58962,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",33.0
99,113,ScHoolboy Q,Studio,449686,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",33.0
515,840,Travis Scott,sdp interlude,191622,"['hip hop', 'rap', 'slap house']",33.0
615,1102,Baby Keem,HONEST,29508,"['hip hop', 'rap']",33.0
1093,3203,David Bowie,Heroes - 2017 Remaster,371413,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",33.0
261,363,Mac Miller,Nikes on My Feet,148735,"['hip hop', 'pittsburgh rap', 'rap']",33.0
390,597,A$AP Rocky,"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi)",91903,"['east coast hip hop', 'hip hop', 'rap', 'trap']",33.0
1240,3751,Blur,Song 2 - 2012 Remaster,7105,"['alternative rock', 'britpop', 'madchester', 'permanent wave', 'rock']",33.0
257,358,Kid Cudi,Day 'N' Nite (nightmare),124976,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']",33.0
1662,5663,JAY-Z,4:44,9891,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",33.0
195,258,Mac Miller,Thoughts from a Balcony,185779,"['hip hop', 'pittsburgh rap', 'rap']",33.0
445,687,Desire,Under Your Spell,296015,['rage rap'],33.0
917,2323,Kanye West,Ghost Town,216729,"['chicago rap', 'hip hop', 'rap']",32.0
1661,5656,Childish Gambino,Les,317293,"['atl hip hop', 'hip hop', 'rap']",32.0
335,488,A$AP Rocky,Sundress,158205,"['east coast hip hop', 'hip hop', 'rap', 'trap']",32.0
2005,7270,Lorde,Supercut,1664,"['art pop', 'metropopolis', 'nz pop', 'pop']",31.0
226,314,Kendrick Lamar,Swimming Pools (Drank),247800,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",31.0
3724,13447,Joey Bada$$,Righteous Minds,224042,"['conscious hip hop', 'hip hop', 'rap']",31.0
521,854,A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),126960,"['east coast hip hop', 'hip hop', 'rap', 'trap']",31.0
